Угол, град - ДН	Сигнал детектора, о.е. - ДН	
-4	2.06005	
-4	2.09644	
-4	2.13952	
-3	2.16646	
-3	2.2023	
-3	2.21941	
-3	2.25014	
-3	2.26822	
-3	2.28636	
-2	2.31318	
-2	2.33603	
-2	2.38028	
-2	2.40111	
-2	2.43182	
-1	2.44509	
-1	2.46587	
-1	2.48912	
-1	2.51205	
-1	2.54523	
-1	2.55773	
-0	2.57564	
-0	2.59115	
0	2.60941	
0	2.63511	
0	2.64403	
1	2.6721	
1	2.67614	
1	2.69399	
1	2.70902	
1	2.7194	
1	2.74193	
2	2.747	
2	2.77081	
2	2.78074	
2	2.79862	
2	2.81158	
3	2.82263	
3	2.84439	
3	2.84882	
3	2.8699	
3	2.87529	
3	2.88277	
4	2.89607	
4	2.90244	
4	2.91896	
4	2.91481	
4	2.9357	
4	2.93797	
5	2.94581	
5	2.95965	
5	2.95899	
5	2.97647	
5	2.97383	
6	2.97827	
6	2.98617	
6	2.99269	
6	3.00831	
6	3.00526	
6	3.02709	
7	3.02148	
7	3.03164	
7	3.03219	
7	3.03113	
7	3.042	
8	3.0362	
8	3.04693	
8	3.04432	
8	3.04602	
8	3.04815	
8	3.04484	
9	3.05398	
9	3.03658	
9	3.04528	
9	3.03019	
9	3.02449	
10	3.01662	
10	3.0043	
10	3.01088	
10	2.99777	
10	3.0015	
10	2.98621	
11	2.97946	
11	2.97609	
11	2.95686	
11	2.96211	
11	2.94123	
12	2.92989	
12	2.9154	
12	2.89741	
12	2.89061	
12	2.87078	
12	2.86999	
13	2.84511	
13	2.83314	
13	2.81119	
13	2.7921	
13	2.78319	
14	2.75572	
14	2.74697	
14	2.72039	
14	2.70324	
14	2.68917	
14	2.66497	
15	2.6528	
15	2.62534	
15	2.61197	
15	2.58269	
15	2.5598	
15	2.53661	
16	2.50789	
16	2.49066	
16	2.45431	
16	2.4336	
16	2.40606	
17	2.37507	
17	2.35257	
17	2.31729	
17	2.29883	
17	2.25761	
17	2.2362	
18	2.20401	
18	2.17629	
18	2.15633	
18	2.1158	
18	2.08792	
19	2.05585	
19	2.0234	
19	1.98777	
19	1.95529	
19	1.93569	
19	1.88998	
20	1.866	
20	1.82839	
20	1.79516	
20	1.76511	
20	1.7279	
21	1.70214	
21	1.66135	
21	1.6332	
21	1.59959	
21	1.56826	
21	1.5366	
22	1.50085	
22	1.47679	
22	1.43934	
22	1.40692	
22	1.37366	
22	1.33961	
23	1.31384	
23	1.27964	
23	1.25071	
23	1.21685	
23	1.18775	
24	1.15523	
24	1.12299	
24	1.09579	
24	1.06011	
24	1.03506	
24	1.00243	
25	0.970971	
25	0.942627	
25	0.911518	
25	0.884395	
25	0.853594	
26	0.825738	
26	0.79657	
26	0.768073	
26	0.741351	
26	0.712	
26	0.68815	
27	0.66246	
27	0.638679	
27	0.614567	
27	0.587907	
27	0.56731	
28	0.54377	
28	0.525741	
28	0.504555	
28	0.484095	
28	0.463767	
28	0.444008	
29	0.42468	
29	0.405549	
29	0.391617	
29	0.376118	
29	0.359657	
30	0.344392	
30	0.328705	
30	0.31452	
30	0.299472	
30	0.285727	
30	0.271768	
31	0.259279	
31	0.247443	
31	0.235474	
31	0.22514	
31	0.212877	
32	0.20222	
32	0.192217	
32	0.181631	
32	0.173112	
32	0.163782	
32	0.155504	
33	0.146618	
33	0.138098	
33	0.130984	
33	0.123852	
33	0.116478	
33	0.11022	
34	0.105016	
34	0.0988851	
34	0.0953457	
34	0.0906715	
34	0.0855666	
35	0.0804763	
35	0.07574	
35	0.0723487	
35	0.0683145	
35	0.0643263	
35	0.0604844	
36	0.0570528	
36	0.054015	
36	0.0506222	
36	0.0488665	
36	0.0469762	
37	0.0447331	
37	0.0427383	
37	0.0407221	
37	0.0394725	
37	0.0386076	
37	0.0372928	
38	0.0360615	
38	0.0344421	
38	0.0334556	
38	0.0328317	
38	0.0322055	
39	0.0320604	
39	0.0315704	
39	0.0315683	
39	0.0306153	
39	0.0301992	
39	0.0300082	
40	0.0300261	
40	0.0297252	
